Job Title,Company,Location,Job Type,Date Posted,Job Link
Administrativo,N/A,N/A,N/A,N/A,N/A
Comercial,N/A,N/A,N/A,N/A,N/A
Call-Center,N/A,N/A,N/A,N/A,N/A
Informática,N/A,N/A,N/A,N/A,N/A
Hotelaria e Restauração,N/A,N/A,N/A,N/A,N/A
ANGARIADORAS/ES,AQUASERVICE PORTUGAL,"Vila Nova de Gaia , Portugal",Part-Time,Últimas 24 horas,https://emprego.sapo.pt/offers/angariadorases?id=a2278fbd-1f2d-4d70-9f04-9a6fb65d601f
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
Conseiller Client - Domaine bancaire – Francophone,Concentrix+Webhelp Portugal,"Braga , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/conseiller-client-domaine-bancaire-francophone?id=1843d1e4-a838-4806-8e8d-69097aff2fdb
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
Mecânico Auto (m/f) - Grande Porto,Norauto Portugal,"Porto , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/mecanico-auto-mf-grande-porto?id=de457c3d-78e6-4cb0-b4cc-5093a6ea8b37
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
Distribuidor,Area Infinitas,"Maia , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/distribuidor?id=1db80e58-aacb-4748-8282-48160d1f9fa0
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
"Supervisor Comercial Outbound - Coimbra (12H - 21H, Folgas ao FDS)",MEO Recrutamento,"Coimbra , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/supervisor-comercial-outbound-coimbra-12h-21h-folgas-ao-fds?id=c8b61317-ec21-4a0b-a97c-f078880b68c9
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
"Gestor Parcerias - Porto (09H - 18H, Folgas ao FDS)",MEO Recrutamento,"Porto , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/gestor-parcerias-porto-09h-18h-folgas-ao-fds?id=871c588c-0d85-4cc0-af3c-1ae28800a728
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
Conseiller Client - Domaine de la Santé – Francophone,Concentrix+Webhelp Portugal,"Aveiro , Portugal",N/A,N/A,https://emprego.sapo.pt/offers/conseiller-client-domaine-de-la-sante-francophone?id=dfb56b35-1254-45d6-a0e5-52260222a83f
"Gestor Parcerias - Lisboa (09H - 18H, Folgas ao FDS)",MEO Recrutamento,"Lisboa , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/gestor-parcerias-lisboa-09h-18h-folgas-ao-fds?id=d64f9b50-95d8-457e-bec7-7e326bdb223b
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
Vendedor de Loja - SINTRA (Rio de Mouro),Radio Popular Electrodomesticos SA,"Lisboa , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/vendedor-de-loja-sintra-rio-de-mouro?id=4b872d75-0ca1-4903-863e-0b77ac074786
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
Técnico de Tesouraria/Faturação (m/f/d),DEKRA,"Lisboa , Portugal",Full-Time,Últimos 7 dias,https://emprego.sapo.pt/offers/tecnico-de-tesourariafaturacao-mfd?id=dc5bbbee-a043-4086-83ea-a006d899b357
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A